#Format: frequency (Hz)  ratio (dB)  phase (deg)
      110.17      -234.84       109.62
      111.19      -234.88       110.87
      112.22      -234.92       112.12
      113.25      -234.96       113.36
       114.3      -235.01       114.61
      115.36      -235.05       115.85
      116.43      -235.09       117.09
      117.51      -235.13       118.33
       118.6      -235.17       119.56
       119.7      -235.21        120.8
       120.8      -235.25       122.04
      121.92      -235.28       123.27
      123.05      -235.32       124.51
      124.19      -235.36       125.74
      125.34       -235.4       126.98
       126.5      -235.43       128.22
      127.67      -235.47       129.45
      128.86      -235.51       130.69
      130.05      -235.54       131.93
      131.26      -235.58       133.17
      132.47      -235.61       134.41
       133.7      -235.64       135.65
      134.94      -235.68        136.9
      136.19      -235.71       138.15
      137.45      -235.74        139.4
      138.72      -235.77       140.65
      140.01      -235.81        141.9
       141.3      -235.84       143.16
      142.61      -235.87       144.42
      143.93      -235.89       145.68
      145.26      -235.92       146.95
      146.61      -235.95       148.22
      147.97      -235.98        149.5
      149.34         -236       150.77
      150.72      -236.03       152.06
      152.12      -236.05       153.34
      153.53      -236.08       154.63
      154.95       -236.1       155.93
      156.38      -236.12       157.23
      157.83      -236.14       158.53
      159.29      -236.16       159.84
      160.77      -236.18       161.15
      162.26      -236.19       162.47
      163.76      -236.21       163.79
      165.28      -236.23       165.12
      166.81      -236.24       166.45
      168.35      -236.25       167.79
      169.91      -236.26       169.13
      171.49      -236.27       170.48
      173.08      -236.28       171.84
      174.68      -236.28       173.19
       176.3      -236.29       174.56
      177.93      -236.29       175.92
      179.58      -236.29        177.3
      181.24      -236.29       178.67
      182.92      -236.29      -179.95
      184.62      -236.29      -178.56
      186.32      -236.28      -177.17
      188.05      -236.27      -175.77
      189.79      -236.27      -174.38
      191.55      -236.25      -172.97
      193.32      -236.24      -171.57
      195.12      -236.22      -170.16
      196.92      -236.21      -168.75
      198.75      -236.19      -167.33
      200.59      -236.16      -165.91
      202.44      -236.14      -164.49
      204.32      -236.11      -163.07
      206.21      -236.08      -161.65
      208.12      -236.05      -160.23
      210.05      -236.02       -158.8
         212      -235.98      -157.38
      213.96      -235.94      -155.95
      215.94       -235.9      -154.53
      217.94      -235.86       -153.1
      219.96      -235.81      -151.68
         222      -235.76      -150.26
      224.05      -235.71      -148.84
      226.13      -235.66      -147.42
      228.22       -235.6      -146.01
      230.34      -235.55      -144.59
      232.47      -235.48      -143.19
      234.62      -235.42      -141.78
       236.8      -235.35      -140.38
      238.99      -235.29      -138.99
       241.2      -235.22       -137.6
      243.44      -235.14      -136.22
      245.69      -235.07      -134.84
      247.97      -234.99      -133.47
      250.26      -234.91      -132.11
      252.58      -234.83      -130.75
      254.92      -234.74       -129.4
      257.28      -234.65      -128.06
      259.67      -234.56      -126.73
      262.07      -234.47       -125.4
       264.5      -234.38      -124.09
      266.95      -234.28      -122.78
      269.42      -234.19      -121.48
      271.92      -234.09      -120.19
      274.43      -233.98      -118.91
      276.98      -233.88      -117.64
      279.54      -233.78      -116.38
      282.13      -233.67      -115.14
      284.74      -233.56       -113.9
      287.38      -233.45      -112.67
      290.04      -233.34      -111.45
      292.73      -233.22      -110.24
      295.44      -233.11      -109.05
      298.18      -232.99      -107.86
      300.94      -232.87      -106.69
      303.73      -232.75      -105.53
      306.54      -232.63      -104.37
      309.38      -232.51      -103.23
      312.24      -232.39       -102.1
      315.14      -232.26      -100.98
      318.06      -232.14     -99.8763
         321      -232.01     -98.7779
      323.97      -231.88     -97.6922
      326.98      -231.75     -96.6167
         330      -231.62     -95.5527
      333.06      -231.49     -94.4991
      336.14      -231.36     -93.4557
      339.26      -231.23     -92.4238
       342.4      -231.09     -91.4022
      345.57      -230.96      -90.391
      348.77      -230.83     -89.3912
         352      -230.69     -88.3999
      355.26      -230.55     -87.4202
      358.55      -230.42     -86.4502
      361.88      -230.28     -85.4899
      365.23      -230.14     -84.5399
      368.61         -230     -83.5991
      372.02      -229.86     -82.6692
      375.47      -229.72     -81.7479
      378.95      -229.58     -80.8358
      382.46      -229.44     -79.9328
         386       -229.3     -79.0401
      389.57      -229.16      -78.156
      393.18      -229.02       -77.28
      396.82      -228.88     -76.4131
       400.5      -228.73     -75.5559
      404.21      -228.59     -74.7062
