#Format: frequency (Hz)  ratio (dB)  phase (deg)
     179.578     -222.649      9.56014
     181.242     -222.618      10.2676
      182.92     -222.587       10.973
     184.615     -222.557      11.6766
     186.325     -222.527      12.3786
      188.05     -222.497       13.079
     189.792     -222.468      13.7781
      191.55     -222.439      14.4761
     193.324      -222.41       15.173
     195.115     -222.382      15.8691
     196.922     -222.355      16.5646
     198.746     -222.327      17.2596
     200.587       -222.3      17.9542
     202.445     -222.273      18.6487
      204.32     -222.247      19.3432
     206.212     -222.221      20.0379
     208.122     -222.195       20.733
      210.05      -222.17      21.4286
     211.995     -222.145      22.1249
     213.959      -222.12      22.8222
     215.941     -222.096      23.5204
     217.941     -222.072        24.22
     219.959     -222.048      24.9209
     221.997     -222.025      25.6234
     224.053     -222.001      26.3277
     226.128     -221.979      27.0339
     228.222     -221.956      27.7423
     230.336     -221.933       28.453
      232.47     -221.911      29.1661
     234.623     -221.889      29.8819
     236.796     -221.868      30.6006
     238.989     -221.846      31.3223
     241.203     -221.825      32.0472
     243.437     -221.804      32.7755
     245.692     -221.783      33.5074
     247.967     -221.762       34.243
     250.264     -221.741      34.9826
     252.582     -221.721      35.7263
     254.921       -221.7      36.4742
     257.283      -221.68      37.2267
     259.666      -221.66      37.9838
     262.071     -221.639      38.7457
     264.498     -221.619      39.5127
     266.948     -221.599      40.2848
      269.42     -221.578      41.0623
     271.916     -221.558      41.8452
     274.434     -221.537      42.6339
     276.976     -221.517      43.4285
     279.542     -221.496       44.229
     282.131     -221.475      45.0357
     284.744     -221.454      45.8488
     287.381     -221.432      46.6683
     290.043     -221.411      47.4945
     292.729     -221.389      48.3274
     295.441     -221.367      49.1673
     298.177     -221.344      50.0141
     300.939     -221.321      50.8682
     303.726     -221.297      51.7295
      306.54     -221.273      52.5981
     309.379     -221.249      53.4743
     312.244     -221.223       54.358
     315.136     -221.198      55.2494
     318.055     -221.171      56.1485
     321.001     -221.144      57.0554
     323.974     -221.116      57.9702
     326.975     -221.087      58.8926
     330.003     -221.058      59.8237
      333.06     -221.027      60.7622
     336.145     -220.996      61.7081
     339.258     -220.963      62.6627
     342.401      -220.93      63.6247
     345.572     -220.895      64.5953
     348.773      -220.86      65.5727
     352.003     -220.823      66.5582
     355.263     -220.784      67.5517
     358.554     -220.745      68.5527
     361.875     -220.704      69.5605
     365.227     -220.661      70.5764
      368.61     -220.617      71.5985
     372.024     -220.572      72.6281
     375.469     -220.525      73.6646
     378.947     -220.476      74.7074
     382.457     -220.426      75.7565
     385.999     -220.374      76.8119
     389.575      -220.32      77.8724
     393.183     -220.265      78.9393
     396.825     -220.207      80.0107
       400.5     -220.148      81.0873
      404.21     -220.086      82.1685
     407.953     -220.023      83.2536
     411.732     -219.958      84.3428
     415.546      -219.89      85.4355
     419.394     -219.821      86.5309
     423.279     -219.749      87.6293
     427.199     -219.676        88.73
     431.156       -219.6      89.8329
      435.15     -219.522      90.9364
      439.18     -219.442      92.0417
     443.248     -219.359      93.1475
     447.353     -219.275      94.2533
     451.497     -219.188      95.3585
     455.679     -219.099      96.4632
     459.899     -219.008      97.5667
     464.159     -218.915      98.6685
     468.458      -218.82      99.7686
     472.797     -218.722      100.866
     477.176     -218.623       101.96
     481.596     -218.521      103.051
     486.056     -218.417      104.139
     490.558     -218.311      105.222
     495.102     -218.203      106.301
     499.688     -218.094      107.374
     504.316     -217.982      108.443
     508.987     -217.868      109.506
     513.701     -217.752      110.563
     518.459     -217.635      111.614
     523.261     -217.516      112.658
     528.108     -217.395      113.696
     532.999     -217.272      114.726
     537.936     -217.148      115.749
     542.919     -217.022      116.765
     547.947     -216.894      117.773
     553.022     -216.765      118.772
     558.145     -216.635      119.764
     563.314     -216.503      120.747
     568.532      -216.37      121.722
     573.798     -216.235      122.688
     579.112       -216.1      123.646
     584.476     -215.963      124.595
      589.89     -215.825      125.535
     595.353     -215.686      126.466
     600.868     -215.546      127.388
     606.433     -215.405        128.3
      612.05     -215.263      129.204
     617.719      -215.12      130.099
      623.44     -214.977      130.985
     629.215     -214.833      131.862
     635.043     -214.688      132.729
     640.924     -214.542      133.588
     646.861     -214.396      134.438
     652.852     -214.249      135.279
     658.899     -214.102      136.111
     665.002     -213.954      136.934
     671.161     -213.806      137.749
     677.378     -213.657      138.555
     683.652     -213.508      139.353
     689.984     -213.359      140.142
     696.374     -213.209      140.923
     702.824      -213.06      141.696
     709.334      -212.91      142.461
     715.904      -212.76      143.218
     722.535      -212.61      143.967
     729.227     -212.459      144.708
     735.981     -212.309      145.442
     742.798     -212.159      146.169
     749.678     -212.008      146.888
     756.622     -211.858        147.6
      763.63     -211.708      148.305
     770.703     -211.558      149.003
     777.841     -211.408      149.695
     785.046     -211.258       150.38
     792.317     -211.109      151.058
     799.655     -210.959       151.73
     807.062      -210.81      152.397
     814.537     -210.662      153.057
     822.082     -210.513      153.711
     829.696     -210.365       154.36
     837.381     -210.217      155.003
     845.137     -210.069      155.641
     852.964     -209.922      156.273
     860.865     -209.776      156.901
     868.838     -209.629      157.523
     876.886     -209.483      158.141
     885.008     -209.338      158.754
     893.205     -209.193      159.363
     901.478     -209.049      159.967
     909.827     -208.905      160.567
     918.254     -208.762      161.163
     926.759     -208.619      161.755
     935.343     -208.477      162.344
     944.006     -208.335      162.929
      952.75     -208.194       163.51
     961.575     -208.054      164.088
     970.481     -207.914      164.662
      979.47     -207.775      165.234
     988.542     -207.637      165.803
     997.698       -207.5      166.369
     1006.94     -207.363      166.932
     1016.27     -207.227      167.493
     1025.68     -207.092      168.052
     1035.18     -206.957      168.608
     1044.77     -206.824      169.162
     1054.44     -206.691      169.715
     1064.21     -206.559      170.265
     1074.07     -206.428      170.814
     1084.01     -206.297      171.362
     1094.05     -206.168      171.908
     1104.19      -206.04      172.453
     1114.42     -205.912      172.997
     1124.74     -205.786       173.54
     1135.15      -205.66      174.082
     1145.67     -205.536      174.624
     1156.28     -205.412      175.165
     1166.99      -205.29      175.706
      1177.8     -205.168      176.247
     1188.71     -205.048      176.788
     1199.72     -204.929      177.329
     1210.83     -204.811       177.87
     1222.04     -204.694      178.412
     1233.36     -204.579      178.954
     1244.79     -204.464      179.498
     1256.32     -204.351     -179.958
     1267.95     -204.239     -179.412
      1279.7     -204.129     -178.865
     1291.55     -204.019     -178.317
     1303.51     -203.911     -177.766
     1315.59     -203.805     -177.214
     1327.77       -203.7      -176.66
     1340.07     -203.596     -176.103
     1352.48     -203.494     -175.544
     1365.01     -203.393     -174.982
     1377.65     -203.294     -174.417
     1390.41     -203.196     -173.848
     1403.29       -203.1     -173.277
     1416.29     -203.006     -172.701
      1429.4     -202.913     -172.121
     1442.64     -202.822     -171.538
     1456.01     -202.733     -170.949
     1469.49     -202.646     -170.356
      1483.1      -202.56     -169.758
     1496.84     -202.476     -169.154
      1510.7     -202.394     -168.544
      1524.7     -202.314     -167.929
     1538.82     -202.236     -167.306
     1553.07     -202.161     -166.677
     1567.46     -202.087     -166.041
     1581.97     -202.015     -165.397
     1596.63     -201.946     -164.745
     1611.41     -201.878     -164.085
     1626.34     -201.813     -163.415
      1641.4     -201.751     -162.736
     1656.61      -201.69     -162.047
     1671.95     -201.632     -161.347
     1687.44     -201.577     -160.637
     1703.06     -201.524     -159.914
     1718.84     -201.474     -159.179
     1734.76     -201.426     -158.431
     1750.83     -201.381     -157.669
     1767.04     -201.338     -156.893
     1783.41     -201.299     -156.101
     1799.93     -201.262     -155.293
      1816.6     -201.228     -154.468
     1833.43     -201.197     -153.625
     1850.41     -201.169     -152.763
     1867.55     -201.144      -151.88
     1884.84     -201.122     -150.977
      1902.3     -201.103     -150.051
     1919.92     -201.087     -149.101
      1937.7     -201.074     -148.127
     1955.65     -201.064     -147.126
     1973.76     -201.058     -146.097
     1992.05     -201.054     -145.038
      2010.5     -201.054     -143.949
     2029.12     -201.057     -142.826
     2047.91     -201.062     -141.669
     2066.88     -201.071     -140.475
     2086.02     -201.083     -139.243
     2105.35     -201.097      -137.97
     2124.85     -201.114     -136.654
     2144.53     -201.133     -135.293
     2164.39     -201.155     -133.885
     2184.44     -201.179     -132.427
     2204.67     -201.205     -130.917
     2225.09     -201.232     -129.352
      2245.7      -201.26      -127.73
      2266.5     -201.289      -126.05
     2287.49     -201.318     -124.308
     2308.68     -201.347     -122.502
     2330.06     -201.375     -120.631
     2351.64     -201.402     -118.693
     2373.42     -201.426     -116.687
     2395.41     -201.447     -114.612
     2417.59     -201.465     -112.468
     2439.99     -201.478     -110.256
     2462.59     -201.485     -107.975
      2485.4     -201.485     -105.629
     2508.42     -201.478     -103.219
     2531.65     -201.463      -100.75
      2555.1     -201.438     -98.2262
     2578.76     -201.403      -95.653
     2602.65     -201.357     -93.0369
     2626.75       -201.3     -90.3858
     2651.08      -201.23     -87.7078
     2675.64     -201.148     -85.0115
     2700.42     -201.054      -82.306
     2725.43     -200.947     -79.6005
     2750.68     -200.828     -76.9047
     2776.15     -200.698     -74.2278
     2801.87     -200.556     -71.5785
     2827.82     -200.405     -68.9646
     2854.01     -200.244     -66.3938
     2880.44     -200.075     -63.8722
     2907.12       -199.9      -61.405
     2934.05     -199.719     -58.9963
     2961.23     -199.534     -56.6496
     2988.65     -199.346     -54.3666
     3016.33     -199.157     -52.1485
     3044.27     -198.968     -49.9953
     3072.47      -198.78     -47.9061
     3100.93     -198.596     -45.8793
     3129.65     -198.415     -43.9124
     3158.64      -198.24     -42.0022
     3187.89     -198.071     -40.1449
     3217.42      -197.91     -38.3359
     3247.22     -197.758     -36.5703
     3277.29     -197.616     -34.8423
     3307.65     -197.485     -33.1459
